text,result,queryID
"what are the discontinuity stresses at junctions in pressurized
structures .
",1171|891|1172|1173|1030|1174,210
"what analytical solutions are available for stresses in edge-loaded
shells of revolution .
",891|1172|1173|1174|763|769|1030|1031|1033|1052|1068,211
"what dome contours minimize discontinuity stresses when used as closures
on cylindrical pressure vessels .
",888|889|1178|885|887|886|841|1176|1177|890|769|891|1173|843,212
"what general solutions for the stresses in pressurized shells of
revolution are available .
",888|885|887|889|1178|769|1173|1177|886|890|843,213
"can studies of pure membrane cylinders having no wall bending stiffness
but maintaining their shape by virtue of internal pressure provide any
insight into the behaviour of pressurized cylinders with finite wall
stiffness .
",833|1361|1362|1363,214
"what are the best experimental data and classical small deflection
theory analyses available for pressurized cylinders in bending .
",37|35,215
"does a membrane theory exist by which the behaviour of pressurized
membrane cylinders in bending can be predicted .
",156,216
"what are the equations which define the stability of simply supported
corrugated core sandwich cylinders .
",666|667|1258|1394|668|670|1204|1391|1395|1300|37|559|630|1107|1213,217
"papers on small deflection theory for buckling of sandwich cylinders .
",24|101|666|667|93|1258|1393|559|630|662|1104|1107|1204|1213|1300,218
"has anyone developed an analysis which accurately establishes the large
deflection behaviour of conical shells .
",1391|666|667|1258|1078|1080|1081|1394|1395|1214|1198|1204|1300|559|630|662|1107|1213,219
"what is the magnitude of second-order wing-body interference
at high supersonic mach number .
",400|1387|1392|1398,223
"what is the best theoretical method for calculating pressure on the
surface of a wing alone .
",656|1313|1317|1316|1318|1319|1157|1274,224
"how can the effect of the boundary-layer on wing pressure be calculated,
and what is its magnitude .
",1379|1305|1304|40|293|1309|161|421|1377|1378|1381|225|1380|448|449|1124|1280|433|923|924|1062|1074|1075|1213,225
